country,region,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2018,58.7,36400000,1870
Albania,Europe,2018,78,2930000,12400
Algeria,Africa,2018,77.9,42000000,13700
Angola,Africa,2018,65.2,30800000,5850
Antigua and Barbuda,Americas,2018,77.6,103000,21000
Argentina,Americas,2018,77,44700000,18900
Armenia,Europe,2018,76,2930000,8660
Australia,Asia,2018,82.9,24800000,45800
Austria,Europe,2018,81.8,8750000,44600
Azerbaijan,Europe,2018,72.3,9920000,16600
Bahamas,Americas,2018,74.1,399000,21900
Bahrain,Asia,2018,77.2,1570000,44300
Bangladesh,Asia,2018,73.4,166000000,3720
Barbados,Americas,2018,76.8,286000,16000
Belarus,Europe,2018,73.8,9450000,17200
Belgium,Europe,2018,81.2,11500000,42800
Belize,Americas,2018,72.5,382000,7710
Benin,Africa,2018,65,11500000,2160
Bhutan,Asia,2018,74.8,817000,9930
Bolivia,Americas,2018,74,11200000,6980
Bosnia and Herzegovina,Europe,2018,77.9,3500000,12100
Botswana,Africa,2018,66.9,2330000,16500
Brazil,Americas,2018,75.7,211000000,14300
Brunei,Asia,2018,77.4,434000,76900
Bulgaria,Europe,2018,75.3,7040000,18900
Burkina Faso,Africa,2018,61.6,19800000,1710
Burundi,Africa,2018,61.1,11200000,691
Cambodia,Asia,2018,69.3,16200000,3830
Cameroon,Africa,2018,61.2,24700000,3170
Canada,Americas,2018,82.2,37000000,43800
Cape Verde,Africa,2018,74.1,553000,6420
Central African Republic,Africa,2018,51.6,4740000,689
Chad,Africa,2018,60.5,15400000,1860
Chile,Americas,2018,80.7,18200000,23400
China,Asia,2018,76.9,1420000000,16000
Colombia,Americas,2018,78.6,49500000,13700
Comoros,Africa,2018,68,832000,1440
"Congo, Dem. Rep.",Africa,2018,62.4,84000000,751
"Congo, Rep.",Africa,2018,63.9,5400000,5620
Costa Rica,Americas,2018,81.4,4950000,16200
Cote d'Ivoire,Africa,2018,61.2,24900000,3760
Croatia,Europe,2018,77.7,4160000,22600
Cuba,Americas,2018,79.3,11500000,20000
Cyprus,Europe,2018,80.8,1190000,32200
Czech Republic,Europe,2018,79.4,10600000,32300
Denmark,Europe,2018,81.1,5750000,46600
Djibouti,Africa,2018,67.1,971000,3540
Dominican Republic,Americas,2018,76.1,10900000,15200
Ecuador,Americas,2018,78.3,16900000,10200
Egypt,Africa,2018,72.6,99400000,10800
El Salvador,Americas,2018,75.8,6410000,8290
Equatorial Guinea,Africa,2018,66.1,1310000,20500
Eritrea,Africa,2018,64.6,5190000,1250
Estonia,Europe,2018,77.7,1310000,29500
Ethiopia,Africa,2018,66.4,108000000,1800
Fiji,Asia,2018,65.8,912000,9420
Finland,Europe,2018,82.1,5540000,40300
France,Europe,2018,82.6,65200000,39000
Gabon,Africa,2018,67.3,2070000,17500
Gambia,Africa,2018,67.8,2160000,1570
Georgia,Europe,2018,74.3,3910000,10100
Germany,Europe,2018,81.3,82300000,45200
Ghana,Africa,2018,66.6,29500000,4380
Greece,Europe,2018,81.3,11100000,25500
Grenada,Americas,2018,71.9,108000,13500
Guatemala,Americas,2018,73.2,17200000,7530
Guinea,Africa,2018,61.9,13100000,1280
Guinea-Bissau,Africa,2018,59.7,1910000,1550
Guyana,Americas,2018,68.2,782000,7740
Haiti,Americas,2018,64.5,11100000,1710
Honduras,Americas,2018,73.1,9420000,4590
Hungary,Europe,2018,75.9,9690000,26900
Iceland,Europe,2018,82.6,338000,47400
India,Asia,2018,69.1,1350000000,6890
Indonesia,Asia,2018,72,267000000,11600
Iran,Asia,2018,76.5,82000000,17400
Iraq,Asia,2018,68,39300000,15900
Ireland,Europe,2018,81.5,4800000,65600
Israel,Asia,2018,82.4,8450000,33400
Italy,Europe,2018,82.6,59300000,35200
Jamaica,Americas,2018,75.2,2900000,8520
Japan,Asia,2018,84.2,127000000,39100
Jordan,Asia,2018,76.7,9900000,8450
Kazakhstan,Asia,2018,72,18400000,24200
Kenya,Africa,2018,67.3,51000000,3110
Kiribati,Asia,2018,62.2,118000,1890
North Korea,Asia,2018,71.1,25600000,1390
South Korea,Asia,2018,81.3,51200000,36800
Kuwait,Asia,2018,80,4200000,68400
Kyrgyz Republic,Asia,2018,71.5,6130000,3490
Lao,Asia,2018,67.9,6960000,6310
Latvia,Europe,2018,75.1,1930000,25500
Lebanon,Asia,2018,80.5,6090000,13400
Lesotho,Africa,2018,51.1,2260000,2960
Liberia,Africa,2018,65.4,4850000,801
Libya,Africa,2018,75.5,6470000,18300
Lithuania,Europe,2018,75.3,2880000,30400
Luxembourg,Europe,2018,82.4,590000,99000
"Macedonia, FYR",Europe,2018,75.2,2090000,14000
Madagascar,Africa,2018,63.4,26300000,1460
Malawi,Africa,2018,61,19200000,1130
Malaysia,Asia,2018,75.9,32000000,27200
Maldives,Asia,2018,80.1,444000,13000
Mali,Africa,2018,62.9,19100000,2020
Malta,Europe,2018,81.8,432000,37900
Mauritania,Africa,2018,70.6,4540000,3670
Mauritius,Africa,2018,74.9,1270000,21000
Mexico,Americas,2018,76.8,131000000,17300
"Micronesia, Fed. Sts.",Asia,2018,65.8,106000,3410
Moldova,Europe,2018,72.4,4040000,5330
Mongolia,Asia,2018,68.7,3120000,12100
Montenegro,Europe,2018,77.3,629000,16600
Morocco,Africa,2018,75.5,36200000,7720
Mozambique,Africa,2018,61.1,30500000,1200
Myanmar,Asia,2018,70.3,53900000,6100
Namibia,Africa,2018,65.7,2590000,10500
Nepal,Asia,2018,71.5,29600000,2420
Netherlands,Europe,2018,81.9,17100000,48500
New Zealand,Asia,2018,81.8,4750000,36400
Nicaragua,Americas,2018,78.7,6280000,5470
Niger,Africa,2018,62.5,22300000,949
Nigeria,Africa,2018,66.1,196000000,5570
Norway,Europe,2018,82.4,5350000,64800
Oman,Asia,2018,78.1,4830000,38900
Pakistan,Asia,2018,68,201000000,5220
Panama,Americas,2018,79.4,4160000,23400
Papua New Guinea,Asia,2018,61.1,8420000,2800
Paraguay,Americas,2018,74.8,6900000,9280
Peru,Americas,2018,80.2,32600000,12700
Philippines,Asia,2018,70.5,107000000,7960
Poland,Europe,2018,78.2,38100000,27700
Portugal,Europe,2018,81.3,10300000,27900
Qatar,Asia,2018,80.7,2690000,121000
Romania,Europe,2018,75.5,19600000,23400
Russia,Europe,2018,71.1,144000000,24800
Rwanda,Africa,2018,68.3,12500000,1930
St. Lucia,Americas,2018,76.6,180000,10900
St. Vincent and the Grenadines,Americas,2018,72,110000,11400
Samoa,Asia,2018,72.4,198000,5950
Sao Tome and Principe,Africa,2018,70.9,209000,3180
Saudi Arabia,Asia,2018,77.6,33600000,50100
Senegal,Africa,2018,66.8,16300000,2570
Serbia,Europe,2018,76.2,8760000,14800
Seychelles,Africa,2018,74.2,95200,27500
Sierra Leone,Africa,2018,60,7720000,1490
Singapore,Asia,2018,84,5790000,83900
Slovak Republic,Europe,2018,77.2,5450000,31400
Slovenia,Europe,2018,81.1,2080000,30900
Solomon Islands,Asia,2018,63.6,623000,2110
Somalia,Africa,2018,58,15200000,629
South Africa,Africa,2018,63.5,57400000,12300
Spain,Europe,2018,83.2,46400000,34700
Sri Lanka,Asia,2018,77.8,21000000,12400
Sudan,Africa,2018,68.8,41500000,4440
Suriname,Americas,2018,71.6,568000,13200
Swaziland,Africa,2018,58.6,1390000,7600
Sweden,Europe,2018,82.4,9980000,47500
Switzerland,Europe,2018,83.5,8540000,57100
Syria,Asia,2018,69.8,18300000,2900
Tajikistan,Asia,2018,72.2,9110000,2920
Tanzania,Africa,2018,65.5,59100000,2780
Thailand,Asia,2018,78.2,69200000,16900
Timor-Leste,Asia,2018,73.3,1320000,1490
Togo,Africa,2018,63.1,7990000,1480
Tonga,Asia,2018,70.7,109000,5500
Trinidad and Tobago,Americas,2018,73.4,1370000,30300
Tunisia,Africa,2018,78,11700000,11600
Turkey,Europe,2018,79.6,81900000,24900
Turkmenistan,Asia,2018,70.5,5850000,17900
Uganda,Africa,2018,62.9,44300000,1820
Ukraine,Europe,2018,72.3,44000000,8330
United Arab Emirates,Asia,2018,76.9,9540000,68200
United Kingdom,Europe,2018,81.2,66600000,40100
United States,Americas,2018,79.1,327000000,54900
Uruguay,Americas,2018,77.6,3470000,21300
Uzbekistan,Asia,2018,70.5,32400000,6690
Vanuatu,Asia,2018,64.3,282000,2900
Venezuela,Americas,2018,75.9,32400000,14200
Palestine,Asia,2018,72.2,5050000,2700
Vietnam,Asia,2018,74.9,96500000,6550
Yemen,Asia,2018,67.1,28900000,2430
Zambia,Africa,2018,59.5,17600000,3860
Zimbabwe,Africa,2018,60.2,16900000,1950
South Sudan,Africa,2018,60.7,12900000,1820
